lam(nm)   eps1            eps2	
715	-17.57731	1.10125
716	-17.64969	1.10463
717	-17.72208	1.10802
718	-17.79447	1.11142
719	-17.86725	1.11495
720	-17.94004	1.11848
721	-18.01282	1.12201
722	-18.0856	1.12554
723	-18.15839	1.12908
724	-18.23154	1.13278
725	-18.30468	1.13648
726	-18.37782	1.14018
727	-18.45096	1.14387
728	-18.5241	1.14757
729	-18.59757	1.15146
730	-18.67105	1.15535
731	-18.74453	1.15924
732	-18.81801	1.16313
733	-18.89148	1.16702
734	-18.96536	1.1711
735	-19.03931	1.17521
736	-19.11327	1.17933
737	-19.18723	1.18344
738	-19.26119	1.18756
739	-19.33539	1.19182
740	-19.40974	1.19618
741	-19.48409	1.20054
742	-19.55844	1.2049
743	-19.6328	1.20926
744	-19.70731	1.2137
745	-19.78218	1.21834
746	-19.85706	1.22297
747	-19.93193	1.22761
748	-20.00681	1.23225
749	-20.08168	1.23688
750	-20.15702	1.2418
751	-20.23239	1.24674
752	-20.30776	1.25168
753	-20.38313	1.25662
754	-20.4585	1.26155
755	-20.53411	1.26665
756	-20.60995	1.2719
757	-20.68578	1.27715
758	-20.76162	1.2824
759	-20.83746	1.28766
760	-20.9133	1.29291
761	-20.98974	1.29843
762	-21.06619	1.30396
763	-21.14265	1.30949
764	-21.2191	1.31503
765	-21.29555	1.32056
766	-21.37222	1.32616
767	-21.44925	1.33189
768	-21.52628	1.33761
769	-21.60331	1.34334
770	-21.68034	1.34907
771	-21.75737	1.35479
772	-21.83492	1.36061
773	-21.91271	1.36646
774	-21.99049	1.37231
775	-22.06828	1.37816
776	-22.14607	1.38401
777	-22.22386	1.38985
778	-22.30233	1.39575
779	-22.38086	1.40164
780	-22.4594	1.40754
781	-22.53793	1.41343
782	-22.61647	1.41932
783	-22.69504	1.42522
784	-22.77431	1.43107
785	-22.85358	1.43693
786	-22.93285	1.44278
787	-23.01212	1.44864
788	-23.09139	1.45449
789	-23.17075	1.46033
790	-23.25097	1.46608
791	-23.33119	1.47183
792	-23.41141	1.47758
793	-23.49163	1.48333
794	-23.57185	1.48908
795	-23.65212	1.49482
796	-23.73326	1.50038
797	-23.8144	1.50594
798	-23.89554	1.5115
799	-23.97668	1.51707
800	-24.05782	1.52263
801	-24.13896	1.52819
802	-24.22093	1.5335
803	-24.30297	1.5388
804	-24.38501	1.54409
805	-24.46705	1.54938
806	-24.54909	1.55468
807	-24.63113	1.55997
808	-24.71395	1.56503
809	-24.79711	1.56999
810	-24.88027	1.57495
811	-24.96343	1.57991
812	-25.04659	1.58487
813	-25.12975	1.58983
814	-25.21329	1.59463
815	-25.29746	1.59917
816	-25.38164	1.60371
817	-25.46581	1.60824
818	-25.54999	1.61278
819	-25.63416	1.61732
820	-25.71834	1.62186
821	-25.80362	1.62596
822	-25.88898	1.63004
823	-25.97435	1.63411
824	-26.05971	1.63819
825	-26.14507	1.64227
826	-26.23043	1.64634
827	-26.31621	1.65026
828	-26.40259	1.65396
829	-26.48896	1.65766
830	-26.57534	1.66136
831	-26.66172	1.66506
832	-26.7481	1.66876
833	-26.83448	1.67245
834	-26.92144	1.67597
835	-27.00857	1.67944
836	-27.0957	1.6829
837	-27.18283	1.68637
838	-27.26995	1.68983
839	-27.35708	1.6933
840	-27.44424	1.69676
841	-27.53211	1.70015
842	-27.61999	1.70354
843	-27.70787	1.70692
844	-27.79574	1.71031
845	-27.88362	1.7137
846	-27.9715	1.71708
847	-28.05944	1.72048
848	-28.14771	1.72393
849	-28.23598	1.72738
850	-28.32425	1.73083
851	-28.41252	1.73427
852	-28.50079	1.73772
853	-28.58906	1.74117
854	-28.67742	1.74466
855	-28.76608	1.74833
856	-28.85474	1.75199
857	-28.94341	1.75565
858	-29.03207	1.75931
859	-29.12073	1.76297
860	-29.2094	1.76664
861	-29.29808	1.77035
862	-29.3869	1.77436
863	-29.47573	1.77838
864	-29.56455	1.7824
865	-29.65337	1.78642
866	-29.7422	1.79044
867	-29.83102	1.79446
868	-29.91984	1.79848
869	-30.00855	1.80296
870	-30.09725	1.80747
871	-30.18595	1.81199
872	-30.27465	1.8165
873	-30.36335	1.82101
874	-30.45206	1.82553
875	-30.54076	1.83004
876	-30.62938	1.83495
877	-30.71795	1.84011
878	-30.80651	1.84528
879	-30.89508	1.85044
880	-30.98365	1.8556
881	-31.07222	1.86076
882	-31.16079	1.86592
883	-31.24928	1.87122
884	-31.33743	1.87716
885	-31.42557	1.8831
886	-31.51372	1.88904
887	-31.60186	1.89498
888	-31.69		1.90092
889	-31.77815	1.90686
890	-31.86629	1.9128
891	-31.95418	1.91928
892	-32.04189	1.92612
893	-32.1296	1.93297
894	-32.21731	1.93981
895	-32.30502	1.94666
896	-32.39273	1.9535
897	-32.48044	1.96035
898	-32.56815	1.9672
899	-32.65551	1.9748
900	-32.74283	1.9825
