 ,Area,Major,Minor,Angle
175,226.832,18.120,15.938,108.929
176,248.855,18.667,16.974,92.856
177,422.833,24.574,21.908,7.320
178,374.384,24.237,19.667,13.165
179,383.193,23.409,20.842,3.028
180,392.002,25.215,19.795,154.514
181,453.665,26.885,21.485,64.694
182,543.957,29.396,23.560,170.612
183,510.923,29.022,22.415,111.895
184,418.429,25.041,21.276,34.457
185,427.238,25.184,21.600,145.150
186,147.551,14.173,13.256,23.303
187,288.496,20.638,17.799,179.106
188,39.641,7.967,6.335,38.474
189,367.777,21.842,21.439,48.700
190,325.934,22.400,18.526,99.290
191,517.530,26.793,24.594,45.389
192,198.203,16.486,15.308,62.908
193,689.306,34.661,25.321,33.592
194,343.552,21.772,20.091,172.975
195,458.069,25.586,22.795,157.821
196,495.508,29.238,21.578,140.109
197,257.664,19.352,16.952,42.640
198,292.900,20.476,18.213,144.905
199,543.957,28.935,23.936,41.090
200,41.843,8.020,6.642,126.992
201,189.394,16.194,14.891,48.915
202,303.911,20.314,19.049,135.092
203,323.732,22.542,18.285,80.613
204,405.215,23.242,22.199,161.734
205,339.147,23.315,18.521,64.255
206,563.778,30.292,23.697,46.621
207,328.136,22.180,18.837,76.727
208,473.485,26.232,22.982,104.052
209,251.057,18.846,16.961,21.542
210,466.878,26.151,22.731,7.215
211,255.462,18.664,17.428,100.611
212,290.698,20.089,18.425,170.563
213,279.687,19.333,18.420,175.955
214,469.081,26.866,22.231,154.135
215,264.271,20.803,16.175,122.803
216,321.529,22.435,18.247,79.403
217,438.249,25.103,22.228,127.500
218,339.147,21.847,19.765,157.659
219,449.260,24.575,23.276,58.046
220,354.563,23.616,19.116,70.751
221,288.496,20.265,18.126,102.492
222,244.450,18.104,17.192,152.847
223,398.608,23.603,21.503,16.625
224,411.822,24.992,20.981,26.191
225,693.711,33.340,26.492,101.910
226,339.147,21.320,20.254,126.728
227,325.934,23.056,17.999,29.814
228,645.261,36.374,22.587,117.584
229,482.294,26.708,22.992,115.698
230,277.484,20.913,16.894,179.332
231,469.081,25.516,23.407,89.757
232,352.361,22.727,19.740,174.849
233,242.248,18.932,16.292,166.779
234,343.552,23.221,18.837,70.237
235,504.317,27.479,23.367,122.169
236,255.462,18.363,17.713,143.527
237,264.271,20.520,16.398,15.452
238,202.608,16.600,15.540,160.656
239,220.226,17.690,15.850,8.401
240,218.023,17.483,15.878,157.695
241,466.878,25.176,23.612,132.060
242,273.080,20.383,17.058,101.978
243,323.732,22.150,18.609,134.124
244,442.653,25.064,22.487,94.583
245,328.136,20.887,20.003,35.392
246,235.641,18.021,16.648,113.044
247,385.395,22.795,21.527,22.011
248,171.776,15.877,13.775,81.197
249,460.272,24.904,23.532,10.065
250,398.608,23.211,21.865,140.659
251,656.272,30.721,27.199,123.189
252,603.418,29.367,26.162,81.438
253,590.205,31.953,23.518,170.980
254,554.969,28.075,25.168,129.013
255,332.541,20.970,20.191,137.561
256,480.092,25.922,23.581,26.374
257,539.553,27.961,24.569,19.916
258,231.237,18.639,15.796,172.994
259,427.238,25.782,21.099,44.095
260,442.653,25.141,22.417,55.424
261,301.709,20.180,19.036,144.268
262,574.789,31.021,23.592,63.292
263,308.316,20.480,19.168,16.927
264,499.912,33.882,18.786,5.669
265,231.237,18.200,16.177,154.185
266,429.440,28.393,19.257,3.261
267,462.474,26.549,22.179,35.291
268,455.867,24.148,24.036,170.687
269,290.698,20.558,18.004,145.086
270,385.395,23.485,20.894,51.195
271,488.901,27.685,22.484,9.638
272,535.148,27.449,24.823,160.344
273,198.203,17.699,14.258,113.627
274,493.305,27.477,22.859,156.934
275,257.664,19.368,16.939,57.342
276,253.259,18.515,17.416,54.300
277,383.193,22.672,21.519,94.171
278,691.508,35.135,25.059,140.130
279,499.912,27.982,22.747,173.125
280,543.957,30.408,22.776,115.043
281,482.294,26.778,22.932,4.968
282,449.260,24.626,23.228,89.982
283,281.889,20.340,17.646,33.426
284,264.271,19.444,17.305,94.779
285,299.507,20.215,18.864,101.338
286,341.350,22.092,19.673,103.694
287,554.969,28.691,24.628,39.224
288,565.980,32.501,22.172,6.091
289,517.530,27.012,24.394,170.994
290,259.866,18.813,17.587,117.548
291,356.765,22.371,20.305,57.868
292,471.283,25.431,23.596,98.917
293,403.013,24.815,20.679,62.991
294,107.911,12.465,11.022,10.739
295,623.238,36.444,21.774,77.441
296,319.327,20.976,19.383,125.297
297,537.350,27.898,24.524,33.115
298,237.844,18.865,16.052,101.132
299,455.867,25.142,23.086,125.878
300,396.406,25.288,19.959,41.928
301,680.497,31.609,27.411,47.807
302,345.754,23.272,18.916,167.107
303,691.508,32.472,27.115,93.104
304,352.361,22.666,19.794,62.400
305,605.620,28.568,26.992,100.414
306,649.666,33.189,24.923,66.772
307,222.428,18.274,15.498,160.987
308,376.586,22.425,21.382,40.223
309,154.158,15.382,12.760,17.955
310,510.923,26.571,24.482,69.596
311,442.653,25.458,22.139,26.050
312,444.856,25.983,21.799,12.956
313,220.226,18.848,14.877,161.995
314,284.091,19.693,18.368,35.737
315,218.023,17.218,16.122,137.695
316,403.013,27.319,18.783,0.364
317,632.047,31.887,25.238,39.004
318,323.732,21.458,19.209,98.626
319,187.192,15.612,15.266,61.222
320,416.226,24.052,22.034,129.512
321,508.721,25.752,25.152,119.134
322,290.698,20.490,18.064,163.969
323,572.587,27.529,26.483,73.727
324,411.822,23.464,22.347,162.478
325,563.778,29.969,23.953,68.789
326,160.765,15.231,13.439,38.337
327,574.789,31.359,23.337,128.354
328,460.272,26.413,22.188,49.803
329,323.732,21.645,19.043,100.458
330,171.776,15.749,13.888,90.846
331,392.002,23.149,21.561,59.947
332,209.214,17.127,15.553,92.119
333,288.496,19.733,18.614,87.619
334,376.586,23.319,20.562,126.342
335,378.788,22.764,21.187,124.609
336,475.687,27.969,21.655,98.654
337,350.159,23.354,19.090,17.249
338,411.822,25.223,20.788,25.522
339,447.058,25.126,22.655,29.041
340,599.014,29.871,25.532,159.011
341,442.653,24.711,22.807,135.575
342,380.990,25.499,19.024,110.212
343,506.519,27.179,23.728,139.212
344,499.912,27.703,22.976,85.214
345,614.429,30.930,25.293,56.464
346,187.192,15.883,15.006,63.640
347,667.284,30.365,27.980,68.095
348,530.744,27.665,24.426,90.409
349,484.496,25.935,23.785,22.931
350,695.913,32.506,27.258,28.379
351,554.969,27.460,25.732,51.201
352,173.978,16.192,13.681,19.782
353,521.935,28.600,23.236,6.240
354,715.733,44.228,20.604,18.380
355,546.159,28.951,24.019,133.183
356,396.406,24.967,20.215,171.033
357,669.486,31.657,26.926,26.300
358,281.889,20.880,17.190,146.415
359,427.238,25.421,21.399,70.390
360,369.979,22.980,20.499,137.283
361,255.462,18.567,17.519,110.423
362,314.923,22.923,17.492,15.217
363,684.902,32.033,27.223,15.311
364,541.755,26.980,25.566,40.354
365,129.933,13.617,12.149,12.578
366,264.271,19.029,17.682,150.145
367,350.159,22.587,19.738,36.295
368,647.463,31.266,26.367,25.720
369,325.934,22.456,18.480,64.453
370,165.169,14.646,14.359,116.590
371,123.326,13.620,11.529,171.201
372,211.417,16.900,15.928,101.858
373,438.249,25.314,22.043,92.016
374,336.945,23.691,18.108,98.723
375,380.990,27.026,17.949,161.907
376,491.103,26.399,23.687,73.704
377,178.383,16.088,14.118,159.820
378,229.035,18.519,15.747,90.993
379,358.968,22.510,20.304,66.709
380,310.518,21.635,18.274,163.819
381,473.485,28.187,21.388,98.075
382,202.608,18.241,14.142,2.152
383,583.598,28.019,26.520,17.606
384,645.261,30.002,27.384,128.224
385,372.181,25.363,18.684,121.077
386,407.417,24.560,21.121,151.239
387,409.620,24.762,21.063,94.665
388,147.551,14.188,13.242,137.600
389,167.371,15.093,14.119,71.544
390,436.047,26.154,21.228,10.303
391,453.665,28.730,20.105,173.359
392,462.474,25.659,22.948,39.958
393,99.102,12.054,10.468,149.020
394,277.484,19.531,18.090,7.925
395,482.294,28.268,21.723,160.418
396,506.519,28.350,22.749,1.380
397,99.102,12.169,10.369,145.980
398,473.485,27.400,22.002,0.865
399,541.755,28.328,24.350,97.232
400,442.653,24.161,23.327,161.384
401,409.620,24.604,21.197,153.969
402,383.193,23.465,20.793,40.241
403,332.541,20.806,20.350,9.649
404,356.765,23.141,19.629,151.302
405,376.586,22.752,21.074,73.991
406,477.890,26.660,22.823,46.919
407,317.125,20.268,19.922,112.895
408,502.114,27.178,23.523,85.427
409,678.295,30.066,28.724,151.323
410,361.170,22.428,20.504,13.347
411,691.508,34.922,25.212,139.168
412,427.238,23.974,22.691,55.378
413,599.014,36.186,21.077,145.803
414,618.834,29.070,27.104,70.420
415,451.462,34.571,16.627,25.793
416,372.181,23.988,19.755,53.208
417,268.675,18.888,18.111,59.015
418,290.698,19.514,18.967,157.565
419,213.619,17.005,15.994,68.911
420,101.304,11.706,11.019,125.585
421,72.674,10.810,8.560,166.140
422,565.980,30.283,23.796,4.713
